"rowNo","type","stim1","stimFormat","ITI","key","keyboard","random","head","body","responseType","responseOptions","pageBreak","fixation","subjectGroup","cursor","required","identity condition","Time","time_block","ITI_ms","ITI_f","ITI_fDuration","timestamp","response","RT","correct","responseCode","browser","version","screenWidth","screenHeight","OS","OS_lang","GMT_timestamp","local_timestamp","trial_file_version","link","calibration","id","age","gender","ethnicity","duration_s"
"30","test","C2_071_DV_071_00",".jpg","800","s","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Match","present","1","801","48","16.68","595181","s","2724","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"29","test","DV_008_C2_008_00",".jpg","800","s","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Match","present","1","801","48","16.68","601901","s","5924","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"23","test","DV_062_C2_062_00",".jpg","800","s","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Match","present","1","801","48","16.68","604821","s","2120","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"59","test","DV_078_C2_125_00",".jpg","800","l","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Mismatch","present","1","801","48","16.69","608245","l","2625","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"36","test","C2_012_DV_245_00",".jpg","800","l","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Mismatch","present","1","801","48","16.68","611669","l","2630","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"5","test","C2_080_DV_080_00",".jpg","800","s","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Match","present","1","801","48","16.68","614092","s","1632","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"16","test","DV_064_C2_064_00",".jpg","800","s","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Match","present","1","801","48","16.68","618077","s","3198","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"58","test","DV_303_C2_217_00",".jpg","800","l","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Mismatch","present","1","801","48","16.68","622045","l","3178","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"15","test","C2_112_DV_112_00",".jpg","800","s","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Match","present","1","801","48","16.68","626349","s","3512","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"13","test","C2_226_DV_226_00",".jpg","800","s","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Match","present","1","801","48","16.68","632245","s","5104","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
